,id_str,from_user,text,formated_date,users,hashtags,nlikes,nreplies,nretweets
12914,1422502974086057985,wandersondelima,#EuAutorizoPresidente,2021-08-03 07:21:52+00:00,[],['euautorizopresidente'],0,0,0
12915,1422502934068203531,Despert50051205,#EuAutorizoPresidente,2021-08-03 07:21:42+00:00,[],['euautorizopresidente'],1,0,1
12916,1422502837095895052,danielbiju,#EuAutorizoPresidente,2021-08-03 07:21:19+00:00,[],['euautorizopresidente'],0,0,0
12917,1422499781985832978,UrruthDenise,@Jambock67 @jairbolsonaro #EuAutorizoPresidente,2021-08-03 07:21:12+00:00,"['Jambock67', 'jairbolsonaro']",['euautorizopresidente'],0,0,0
12918,1422502775901069315,Ker9Ari,Happy #August 3rd  Ótima terça-feira  #EuAutorizoPresidente  #BolsonaroReeleito  #Bolsonaro2021  Grato a meus 18930 #segdirs,2021-08-03 07:21:05+00:00,[],"['august', 'euautorizopresidente', 'bolsonaroreeleito', 'bolsonaro2021', 'segdirs']",3,1,3
12919,1422502755634122764,marsubarb,Tá autorizado  #EuAutorizoPresidente,2021-08-03 07:21:00+00:00,[],['euautorizopresidente'],3,0,1
12920,1422502755592249344,MariaHelenaBac2,#EuAutorizoPresidente,2021-08-03 07:21:00+00:00,[],['euautorizopresidente'],1,0,0
12921,1422502743139311617,Raphael04425929,#EuAutorizoPresidente,2021-08-03 07:20:57+00:00,[],['euautorizopresidente'],0,0,0
12922,1422502661828513825,Alexand11321943,"#EuAutorizoPresidente  com FORÇA, FÉ e DETERMINAÇÃO. NÃO  SE PODE TER PIEDADE DE INIMIGOS. SE FICAREM BRAVOS OU BONZINHOS FAÇAM-OS PAGAREM PELO QUE FIZERAM AO BRASIL! SÓ ATACAM  PESSOAS DE BEM! CHEGA CARALHO!!!!FDPS!",2021-08-03 07:20:38+00:00,[],['euautorizopresidente'],1,0,0
12923,1422502623958142997,ovingadorrj,O progressismo querendo corromper a ciência.Fim dos tempos. #VotoImpressoAuditavelJa2022 #EuAutorizoPresidente  https://t.co/mT15bR3N9M,2021-08-03 07:20:29+00:00,[],"['votoimpressoauditavelja2022', 'euautorizopresidente']",3,0,2
12924,1422500684008656920,AnglicaKurten,"@rose_galvao77 Bom dia, Rose!!🤗☕🙏 #EuAutorizoPresidente",2021-08-03 07:20:20+00:00,['rose_galvao77'],['euautorizopresidente'],2,1,2
12925,1422500375639232530,holosonic7,@TrumpMargareth #EuAutorizoPresidente,2021-08-03 07:20:06+00:00,['TrumpMargareth'],['euautorizopresidente'],0,0,0
12926,1422502504625999885,Noelia52448217,#EuAutorizoPresidente  #VotoImpressoAuditavelJa2022,2021-08-03 07:20:00+00:00,[],"['euautorizopresidente', 'votoimpressoauditavelja2022']",0,0,0
12927,1422502489497214976,Marizematch,#EuAutorizoPresidente 🤜🇧🇷🤛,2021-08-03 07:19:56+00:00,[],['euautorizopresidente'],2,0,2
12928,1422502265567514624,BRASIL47682154,"@fabiofaria ACABOU PORRA!! DESTITUI OS 10 DO STF, E COLOQUE 10 JUÍZES TOGADOS DE CARREIRA NO MINIMO 10 ANOS DE DE JUIZ FEDERAL  #EuAutorizoPresidente",2021-08-03 07:19:41+00:00,['fabiofaria'],['euautorizopresidente'],1,0,1
12929,1422499781985832978,Noelia52448217,@Jambock67 @jairbolsonaro #EuAutorizoPresidente,2021-08-03 07:19:32+00:00,"['Jambock67', 'jairbolsonaro']",['euautorizopresidente'],0,0,0
12930,1422496874309750795,UrruthDenise,@Jambock67 #EuAutorizoPresidente,2021-08-03 07:19:32+00:00,['Jambock67'],['euautorizopresidente'],1,0,1
12931,1422361765036400644,FlaviaGaspa,@TSEjusbr @LRobertoBarroso #EuAutorizoPresidente #EstamosComBolsonaro vcs rasgam a Constituição.  https://t.co/1yslu7loNl,2021-08-03 07:19:26+00:00,"['TSEjusbr', 'LRobertoBarroso']","['euautorizopresidente', 'estamoscombolsonaro']",0,0,0
