Ano,Unidade_Orçamentária,Pago
2015,Agência Nacional do Cinema,113175899
2015,Fundação Biblioteca Nacional,68679818
2015,Fundação Casa de Rui Barbosa,26865378
2015,Fundação Cultural Palmares,16405084
2015,Fundação Nacional de Artes,77639488
2015,Fundação Nacional do Índio,1383542
2015,Fundo Nacional de Cultura,14679695
2015,Instituto Brasileiro de Museus,121268054
2015,Instituto do Patrimônio Histórico e Artístico Nacional,214573720
2016,Administração Direta,225660510
2016,Agência Nacional do Cinema,121568737
2016,Fundação Biblioteca Nacional,70952283
2016,Fundação Casa de Rui Barbosa,28208858
2016,Fundação Cultural Palmares,17850117
2016,Fundação Nacional de Artes,75844995
2016,Fundação Nacional do Índio,2134813
2016,Fundo Nacional de Cultura,14466205
2016,Instituto Brasileiro de Museus,125879271
2016,Instituto do Patrimônio Histórico e Artístico Nacional,268968941
2017,Administração Direta,191744700
2017,Agência Nacional do Cinema,138917256
2017,Fundação Biblioteca Nacional,76675927
2017,Fundação Casa de Rui Barbosa,29990531
2017,Fundação Cultural Palmares,16760564
2017,Fundação Nacional de Artes,80823610
2017,Fundação Nacional do Índio,2269386
2017,Fundo Nacional de Cultura,77187885
2017,Instituto Brasileiro de Museus,127158164
2017,Instituto do Patrimônio Histórico e Artístico Nacional,279109169
2018,Administração Direta,232892140
2018,Agência Nacional do Cinema,123908057
2018,Fundação Biblioteca Nacional,72072065
2018,Fundação Casa de Rui Barbosa,27056264
2018,Fundação Cultural Palmares,15523164
2018,Fundação Nacional de Artes,69065465
2018,Fundação Nacional do Índio,2367552
2018,Fundo Nacional de Cultura,26536797
2018,Instituto Brasileiro de Museus,124198408
2018,Instituto do Patrimônio Histórico e Artístico Nacional,295011236
2019,Administração Direta,32305233
2019,Agência Nacional do Cinema,116740878
2019,Fundação Biblioteca Nacional,71960252
2019,Fundação Casa de Rui Barbosa,26989479
2019,Fundação Cultural Palmares,15631217
2019,Fundação Nacional de Artes,64988477
2019,Fundação Nacional do Índio,367590
2019,Fundo Nacional de Cultura,17113021
2019,Instituto Brasileiro de Museus,120724079
2019,Instituto do Patrimônio Histórico e Artístico Nacional,275618856
2020,Administração Direta,11689255
2020,Agência Nacional do Cinema,111460874
2020,Fundação Biblioteca Nacional,63962243
2020,Fundação Casa de Rui Barbosa,25529152
2020,Fundação Cultural Palmares,15101084
2020,Fundação Nacional de Artes,60502926
2020,Fundo Nacional de Cultura,4739170
2020,Instituto Brasileiro de Museus,110844575
2020,Instituto do Patrimônio Histórico e Artístico Nacional,204840059
2021,Administração Direta,1061347
2021,Agência Nacional do Cinema,43088190
2021,Fundação Biblioteca Nacional,22682546
2021,Fundação Casa de Rui Barbosa,9915467
2021,Fundação Cultural Palmares,4193995
2021,Fundação Nacional de Artes,19893492
2021,Fundo Nacional de Cultura,0
2021,Instituto Brasileiro de Museus,37884652
2021,Instituto do Patrimônio Histórico e Artístico Nacional,64244613
