date,nlikes,nreplies,nretweets,NInterações
2021-06-26 19:41:57,7,0,1,8
2021-06-26 19:42:06,27,4,3,34
2021-06-26 19:42:15,45,0,5,50
2021-06-26 19:42:21,3,0,2,5
2021-06-26 19:42:22,0,0,0,0
2021-06-26 19:42:35,62,1,15,78
2021-06-26 19:42:36,2,0,1,3
2021-06-26 19:42:41,2,1,0,3
2021-06-26 19:42:46,0,0,0,0
2021-06-26 19:42:48,6,1,1,8
2021-06-26 19:43:04,2,0,2,4
2021-06-26 19:43:09,0,0,0,0
2021-06-26 19:43:11,0,0,0,0
2021-06-26 19:43:17,22803,490,3362,26655
2021-06-26 19:43:21,5869,68,406,6343
2021-06-26 19:43:25,1,0,0,1
2021-06-26 19:43:28,2,0,0,2
2021-06-26 19:43:32,1,0,0,1
2021-06-26 19:43:37,1,0,1,2
2021-06-26 19:43:57,2,0,0,2
2021-06-26 19:44:06,212,4,88,304
2021-06-26 19:44:14,27,1,1,29
2021-06-26 19:44:17,4,0,0,4
2021-06-26 19:44:19,0,0,0,0
2021-06-26 19:44:21,1,1,0,2
2021-06-26 19:44:24,10,0,2,12
2021-06-26 19:44:29,18,0,6,24
2021-06-26 19:44:34,2,0,0,2
2021-06-26 19:44:39,1,0,0,1
2021-06-26 19:44:45,1,0,0,1
2021-06-26 19:44:49,2,0,0,2
2021-06-26 19:44:51,5,0,1,6
2021-06-26 19:44:52,1,0,0,1
2021-06-26 19:44:54,1,0,0,1
2021-06-26 19:44:57,2,0,0,2
2021-06-26 19:44:58,4,0,1,5
2021-06-26 19:45:00,0,0,0,0
2021-06-26 19:45:07,1,0,0,1
2021-06-26 19:45:08,1,0,0,1
2021-06-26 19:45:10,0,0,0,0
2021-06-26 19:45:13,0,0,0,0
2021-06-26 19:45:15,4,0,1,5
2021-06-26 19:45:20,135,4,26,165
2021-06-26 19:45:26,0,1,0,1
2021-06-26 19:45:30,0,0,0,0
2021-06-26 19:45:37,2,0,2,4
2021-06-26 19:45:42,1,0,0,1
2021-06-26 19:45:43,2,0,0,2
2021-06-26 19:45:50,51,0,9,60
2021-06-26 19:45:54,3,0,0,3
2021-06-26 19:45:56,1,1,0,2
2021-06-26 19:45:58,0,0,0,0
2021-06-26 19:46:01,1,0,0,1
2021-06-26 19:46:06,0,0,0,0
2021-06-26 19:46:16,0,0,0,0
2021-06-26 19:46:19,0,0,0,0
2021-06-26 19:46:20,2,0,0,2
2021-06-26 19:46:29,23,1,4,28
2021-06-26 19:46:30,1,0,0,1
2021-06-26 19:46:36,0,0,0,0
2021-06-26 19:46:37,0,0,0,0
2021-06-26 19:46:53,0,0,0,0
2021-06-26 19:46:56,1,0,0,1
2021-06-26 19:46:59,0,0,0,0
2021-06-26 19:47:01,0,0,0,0
2021-06-26 19:47:02,7,1,1,9
2021-06-26 19:47:06,116,2,32,150
2021-06-26 19:47:18,3,1,1,5
2021-06-26 19:47:22,39,3,13,55
2021-06-26 19:47:23,1,0,0,1
2021-06-26 19:47:35,0,0,0,0
2021-06-26 19:47:45,0,0,1,1
2021-06-26 19:47:50,2,0,0,2
2021-06-26 19:48:25,0,0,0,0
2021-06-26 19:48:27,0,0,0,0
2021-06-26 19:48:31,0,0,0,0
2021-06-26 19:48:34,447,9,139,595
2021-06-26 19:48:39,0,0,0,0
2021-06-26 19:48:57,2,0,0,2
2021-06-26 19:49:00,0,0,0,0
2021-06-26 19:49:01,1,0,0,1
2021-06-26 19:49:04,0,0,0,0
2021-06-26 19:49:06,0,0,0,0
2021-06-26 19:49:12,1,0,0,1
2021-06-26 19:49:14,3,0,1,4
2021-06-26 19:49:16,1,0,1,2
2021-06-26 19:49:25,1,0,0,1
2021-06-26 19:49:26,14,0,5,19
2021-06-26 19:49:31,0,0,0,0
2021-06-26 19:49:42,237,2,69,308
2021-06-26 19:49:56,1,0,0,1
2021-06-26 19:50:07,0,0,0,0
2021-06-26 19:50:12,0,0,0,0
2021-06-26 19:50:13,1,0,0,1
2021-06-26 19:50:17,0,0,0,0
2021-06-26 19:50:25,5,0,0,5
2021-06-26 19:50:31,0,0,0,0
2021-06-26 19:50:32,1336,58,411,1805
2021-06-26 19:50:37,825,11,189,1025
2021-06-26 19:50:40,0,0,0,0
2021-06-26 19:50:48,0,0,0,0
2021-06-26 19:50:50,0,0,0,0
2021-06-26 19:50:56,2,0,0,2
2021-06-26 19:50:57,0,0,0,0
2021-06-26 19:50:58,0,0,0,0
2021-06-26 19:51:05,1,0,1,2
2021-06-26 19:51:14,65,5,16,86
2021-06-26 19:51:17,0,0,0,0
2021-06-26 19:51:22,1,0,0,1
2021-06-26 19:51:23,0,0,0,0
2021-06-26 19:51:24,0,0,0,0
2021-06-26 19:51:25,0,0,0,0
2021-06-26 19:51:27,11,0,4,15
2021-06-26 19:51:31,5,0,0,5
2021-06-26 19:51:33,1,0,2,3
2021-06-26 19:51:39,0,0,0,0
2021-06-26 19:51:40,0,0,0,0
2021-06-26 19:51:41,8,0,0,8
2021-06-26 19:51:45,0,0,0,0
2021-06-26 19:51:47,1,0,0,1
2021-06-26 19:51:49,1,0,0,1
2021-06-26 19:52:11,0,0,0,0
2021-06-26 19:52:13,0,0,0,0
2021-06-26 19:52:22,7,1,5,13
2021-06-26 19:52:25,1,0,0,1
2021-06-26 19:52:32,0,0,0,0
2021-06-26 19:52:34,0,0,0,0
2021-06-26 19:52:44,0,0,0,0
2021-06-26 19:52:47,0,0,0,0
2021-06-26 19:52:52,0,0,0,0
2021-06-26 19:52:55,0,0,0,0
2021-06-26 19:52:56,0,0,0,0
2021-06-26 19:53:02,1,0,0,1
2021-06-26 19:53:03,0,0,0,0
2021-06-26 19:53:04,3,0,1,4
2021-06-26 19:53:06,0,0,0,0
2021-06-26 19:53:10,0,0,0,0
2021-06-26 19:53:21,0,0,0,0
2021-06-26 19:53:25,182,16,56,254
2021-06-26 19:53:37,0,0,0,0
2021-06-26 19:53:38,2,0,1,3
2021-06-26 19:53:42,0,0,0,0
2021-06-26 19:53:49,1,0,1,2
2021-06-26 19:53:56,0,0,0,0
2021-06-26 19:53:58,0,0,0,0
2021-06-26 19:54:08,0,0,0,0
2021-06-26 19:54:17,0,0,0,0
2021-06-26 19:54:18,37,0,2,39
2021-06-26 19:54:19,22,2,11,35
2021-06-26 19:54:24,0,0,0,0
2021-06-26 19:54:36,1,0,0,1
2021-06-26 19:54:52,1,1,0,2
2021-06-26 19:54:53,3,0,0,3
2021-06-26 19:54:54,0,0,0,0
2021-06-26 19:54:55,6,0,1,7
2021-06-26 19:54:59,4,0,0,4
2021-06-26 19:55:02,0,0,0,0
2021-06-26 19:55:06,2,0,0,2
2021-06-26 19:55:09,0,0,0,0
2021-06-26 19:55:12,0,0,0,0
2021-06-26 19:55:17,0,0,0,0
2021-06-26 19:55:18,777,21,297,1095
2021-06-26 19:55:22,8,0,0,8
2021-06-26 19:55:26,0,0,0,0
2021-06-26 19:55:30,1,1,0,2
2021-06-26 19:55:33,0,0,0,0
2021-06-26 19:55:37,0,0,0,0
2021-06-26 19:55:43,45,0,4,49
2021-06-26 19:55:50,0,0,0,0
2021-06-26 19:55:52,0,0,0,0
2021-06-26 19:55:59,0,0,0,0
2021-06-26 19:56:14,0,0,0,0
2021-06-26 19:56:19,1,0,0,1
2021-06-26 19:56:22,45,1,23,69
2021-06-26 19:56:23,0,0,0,0
2021-06-26 19:56:24,6,0,3,9
2021-06-26 19:56:25,2,0,1,3
2021-06-26 19:56:29,4,0,0,4
2021-06-26 19:56:30,2091,103,560,2754
2021-06-26 19:56:31,485,12,160,657
2021-06-26 19:56:36,1,0,0,1
2021-06-26 19:56:37,0,0,0,0
2021-06-26 19:56:38,1,0,0,1
2021-06-26 19:56:45,1,0,0,1
2021-06-26 19:56:48,0,0,0,0
2021-06-26 19:56:51,0,0,0,0
2021-06-26 19:56:57,1,0,0,1
2021-06-26 19:57:06,0,0,0,0
2021-06-26 19:57:09,4,0,0,4
2021-06-26 19:57:18,0,0,0,0
2021-06-26 19:57:27,0,0,0,0
2021-06-26 19:57:33,0,0,0,0
2021-06-26 19:57:34,1,0,0,1
2021-06-26 19:57:39,1,0,0,1
2021-06-26 19:57:40,9,0,3,12
2021-06-26 19:57:42,1,0,0,1
2021-06-26 19:57:43,0,0,0,0
2021-06-26 19:57:44,2,0,1,3
2021-06-26 19:57:45,27,0,2,29
2021-06-26 19:57:49,1,0,0,1
2021-06-26 19:57:53,289,5,50,344
2021-06-26 19:57:54,0,0,0,0
2021-06-26 19:58:01,1,0,0,1
2021-06-26 19:58:02,1,0,0,1
2021-06-26 19:58:03,0,0,0,0
2021-06-26 19:58:12,1,0,0,1
2021-06-26 19:58:13,1,0,0,1
2021-06-26 19:58:18,0,0,0,0
2021-06-26 19:58:19,1,0,1,2
2021-06-26 19:58:20,1,0,0,1
2021-06-26 19:58:26,1,0,0,1
2021-06-26 19:58:32,0,0,0,0
2021-06-26 19:58:33,0,0,0,0
2021-06-26 19:58:37,1,0,0,1
2021-06-26 19:58:41,0,0,0,0
2021-06-26 19:58:42,2,0,0,2
2021-06-26 19:58:53,1,0,0,1
2021-06-26 19:58:54,0,0,0,0
2021-06-26 19:59:00,0,0,0,0
2021-06-26 19:59:03,0,0,0,0
2021-06-26 19:59:06,0,0,0,0
2021-06-26 19:59:08,0,0,0,0
2021-06-26 19:59:10,27,0,10,37
2021-06-26 19:59:12,0,0,0,0
2021-06-26 19:59:16,3,0,0,3
2021-06-26 19:59:20,0,0,0,0
2021-06-26 19:59:24,0,0,0,0
2021-06-26 19:59:33,0,0,0,0
2021-06-26 19:59:34,0,0,0,0
2021-06-26 19:59:41,0,0,0,0
2021-06-26 19:59:45,0,0,0,0
2021-06-26 19:59:49,3,0,2,5
2021-06-26 19:59:50,1,0,0,1
2021-06-26 19:59:55,0,0,0,0
2021-06-26 19:59:56,162,4,63,229
2021-06-26 19:59:57,4,0,1,5
2021-06-26 20:00:01,1185,27,222,1434
2021-06-26 20:00:02,0,0,0,0
2021-06-26 20:00:03,12,0,1,13
2021-06-26 20:00:04,0,0,0,0
2021-06-26 20:00:12,0,0,0,0
2021-06-26 20:00:14,0,0,0,0
2021-06-26 20:00:19,3,0,0,3
2021-06-26 20:00:20,1,0,1,2
2021-06-26 20:00:22,2,0,0,2
2021-06-26 20:00:23,2,1,0,3
2021-06-26 20:00:24,0,0,0,0
2021-06-26 20:00:37,0,0,0,0
2021-06-26 20:00:41,1,0,1,2
2021-06-26 20:00:43,0,0,0,0
2021-06-26 20:00:47,0,0,0,0
2021-06-26 20:00:57,1,0,0,1
2021-06-26 20:01:05,0,0,0,0
2021-06-26 20:01:08,31,0,0,31
2021-06-26 20:01:22,0,0,0,0
2021-06-26 20:01:28,539,4,93,636
2021-06-26 20:01:29,0,0,0,0
2021-06-26 20:01:33,0,0,0,0
2021-06-26 20:01:35,1,0,0,1
2021-06-26 20:01:36,3,0,1,4
2021-06-26 20:01:38,0,0,0,0
2021-06-26 20:01:45,0,0,0,0
2021-06-26 20:01:48,0,0,0,0
2021-06-26 20:01:53,0,0,0,0
2021-06-26 20:01:57,0,0,0,0
2021-06-26 20:01:58,3,1,2,6
2021-06-26 20:02:02,0,0,0,0
2021-06-26 20:02:03,3,0,1,4
2021-06-26 20:02:05,24,1,4,29
2021-06-26 20:02:07,0,0,0,0
2021-06-26 20:02:10,0,0,0,0
2021-06-26 20:02:16,0,0,0,0
2021-06-26 20:02:17,1,0,0,1
2021-06-26 20:02:20,0,0,0,0
2021-06-26 20:02:25,1,1,1,3
2021-06-26 20:02:30,1,0,0,1
2021-06-26 20:02:31,0,0,0,0
2021-06-26 20:02:32,0,0,0,0
2021-06-26 20:02:41,1,0,0,1
2021-06-26 20:02:52,1,0,0,1
2021-06-26 20:02:56,0,0,0,0
2021-06-26 20:03:06,0,0,0,0
2021-06-26 20:03:09,1,0,1,2
2021-06-26 20:03:16,0,0,0,0
2021-06-26 20:03:17,0,0,0,0
2021-06-26 20:03:19,3,1,1,5
2021-06-26 20:03:20,1,0,0,1
2021-06-26 20:03:27,0,0,0,0
2021-06-26 20:03:34,0,0,0,0
2021-06-26 20:03:36,0,0,0,0
2021-06-26 20:03:40,2,2,0,4
2021-06-26 20:03:42,0,0,0,0
2021-06-26 20:03:43,0,0,0,0
2021-06-26 20:03:46,0,0,0,0
2021-06-26 20:03:49,0,0,0,0
2021-06-26 20:03:54,9,0,4,13
2021-06-26 20:03:58,3,0,0,3
2021-06-26 20:04:00,1,0,0,1
2021-06-26 20:04:01,0,1,0,1
2021-06-26 20:04:04,0,0,0,0
